i,address,end,name_i,newlines,name,string
0,0xbaa48,0xbaae7,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Elza,"Hey… <player>.
Can I ask you
something? Can
you take me to
the aquarium on
the mainland
today? I want to
see the fish.
Please?
 Yes          No<ask>"
1,0xbaae7,0xbab26,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Elza,"Really? OK! I'll
be waiting for
you in the town
at 1PM!"
2,0xbab26,0xbab42,8,"[""\\n"", ""<waita>@""]",Elza,"That's OK. You
have <var>0…"
3,0xbab42,0xbabfe,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""10GT000@""]",Kate,"Listen, <player>.
I want to ask
you something.
I want to go to
see the movie
with you… They
are showing a
good one on the
mainland. Do you
want to go?

 Yes          No<ask>"
4,0xbabfe,0xbac37,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Kate,"Yeah! I'll be
waiting for you
in the town at
1PM."
5,0xbac37,0xbac4e,11,"[""\\n"", ""<waita>@""]",Kate,"No? I hate you,
<player>!"
6,0xbac4e,0xbac7c,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Elza,"Thank you for
today. I had a
good time."
7,0xbac7c,0xbacaa,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Kate,"The movie was
good! Let's do
it again♥"
8,0xbacaa,0xbacfe,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Elza,"Why didn't you
come? I don't
like people who
don't keep their
promises!"
9,0xbacfe,0xbad2b,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",Kate,"Work is more
important to
you than me…"
10,0xbad2b,0xbad59,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",Elza,"Hi, <player>.
Thanks for
coming. Shall we
go?"
